topic,document,Topic_words
-1,Eating Europe: A Meta-Nonfiction Love Story (Writing Travel) ,"['bag', 'bean bag', 'cotton']"
-1,"Minnie Printed Girls Slip Pack of 5 from Bodycare Bodycare brings collection of girls slip with 100% Cotton,premium quality breathable fabric. Superior quality soft material, styilsh patterns. Cute and adorable prints for kids","['bag', 'bean bag', 'cotton']"
8,SanDisk Ultra A1 16GB Class 10 Ultra microSD UHS-I Card with Adapter (SDSQUAR-016G-GN6MA) Size name:16 GB   The SanDisk ultra microSDXC UHS-I card is perfect for recording and watching full HD video,"['floppy drive', 'external floppy', 'floppy disk']"
16,"The Black Island (Tintin) Review Tintin shows young readers that the world in all its complexity is theirs to bestride * The Wall Street Journal * 				    	 					 About the Author Herge, born Georges Prosper Remi, is a Belgian cartoonist. His notable works are The Adventures of Tintin, Jo, Zette and Jocko and Quick and Flupke. He received several awards during his time, including Tibet's Light of Truth Award from the Dalai Lama. He is considered to be the ninth most often translated French-language author according to UNESCO. He has a museum in his name in Belgium called the Musee Herge.","['young readers', 'diary', 'novels']"
-1,"Car Air Purifier, YONTEX Ionic Air Cleaner Ionizer with 2 Smart USB Port Smart Car Charger - Removes Smoke, Bad Smell and Odors Eliminator - Care Your Family's Health [Black]","['bag', 'bean bag', 'cotton']"
-1,"Opta SAC-003, Mini Sports Action Camera With Wifi - 4K 1080P Full Hd, G Sensor, Hdmi Hd Output- (Black Color, 12 Accessories) Dsp:Ntk96660   Image Sensor:Sony Imx 078(12M)   Video Resolution:""4K@24Fps (2880X2160),2560X1440 30Fps,   1920X1080 60Fps,1280X720 120Fps,640X480 240Fps""   Image Resolution:20M/18M/16M/12M/8M/5M/2M   Lcd Display:2.0-Inch Hd Screen   Extended Memory:64G   Image File Forma:Jpeg   Video File:Mp4   Exposure:Automatic   Iso:Automatic/100/200/400   Interface Type:Usb/Hdmi  Battery Type/Battery Capacity:""3.7V  1050Mah Li-Ion""   Longest Recording Tim:Max 90 Min   Ddr:1Gb Ddr  Nand Flash:Build-In   Speaker:Build-In   Mic:Build-In   Waterproof Depth:Waterproof 30M   Waterproof Mode:Waterproof Case   Wifi:Yes   Wireless Remote Control:No   Photograph:Yes   Camera Angle:Optionally Angle To Achieve 170 /140 /110 /70 Angle Options   Storage Compression Mode:H.264   G-Sensor:No   Motion Detection:Yes   Loop-Record:Yes,3 Minutes/5Minute/10Minute/Off   Intelligent Detection Shutdown:Yes  Anti-Shake:Yes.","['bag', 'bean bag', 'cotton']"
-1,"RC. ROYAL CLASS Men's Woolen Thick Towel Multicolored Formal Socks (Pack of 3 Pairs) Royal Class brings one of the superior quality woolen terry/ towel socks for Men's, made from soft acro wool and spandex for elasticity. Very soft terry inside the socks for warm and cushion like feel to the feet.","['bag', 'bean bag', 'cotton']"
1,"Apple MGEN2HN/A Mac Mini (Core i5/8GB/1TB/macOS High Sierra/Integrated Graphics), Silver Mac mini is an affordable powerhouse that packs the entire Mac experience into a 7.7-inch-square frame. Just connect your own display, keyboard and mouse and you're ready to make big things happen. Mac mini makes everyday tasks a breeze with fourth-generation Intel Core processors, a flash storage option that's up to 50 percent faster and wireless performance up to three times quicker than its predecessor. With Intel Iris Graphics or Intel HD Graphics 5000, it also delivers graphics performance up to 90 percent faster than the previous generation. And with great connectivity features like Thunderbolt 2 and support for HDTV, Mac mini makes the perfect centrepiece to any setup. Carved from a solid block of aluminium, Mac mini has a seamless, unique look that is unmistakably Mac. At less than an inch and a half tall and under three pounds, it keeps a low profile without sacrificing functionality. And it's still the world's most energy-efficient desktop computer - it doesn't just meet Energy Star requirements, it exceeds them up to seven times over. With a computer this compact, the only question is what to do with all that free desk space. Easy to use, beautiful to look at and engineered to take full advantage of your Mac hardware, OS X Yosemite is the world's most advanced desktop operating system. It comes with an amazing collection of apps for the things you do every day. And it makes your Mac and iOS devices work together in amazing ways. Easy to use, beautiful to look at and engineered to take full advantage of your Mac hardware, OS X Yosemite is the world's most advanced desktop operating system. It comes with an amazing collection of apps for the things you do every day. And it makes your Mac and iOS devices work together in amazing ways.","['ipad', 'smartphone', 'bluetooth']"
7,"Ahhaaaa Kids Waistcoat, Shirt, Tie and Trouser Set for boys_570 AHHAAAA brings exclusive festive Range for little infants. The range has been carefully crafed keeping the comfort of your delicate baby. So, grab this limited edition set of Shirt, Jacket and Jeans and make you little baby centre of attraction this festive season.","['baby thermal', 'thermal vest', 'clothes']"
2,Professional Knowledge for IBPS/SBI Specialist IT Officer Exam with 10 Practice Sets ,"['designed exam', 'professionals arihant', 'exam oriented']"
-1,"Global Home Microfiber Soft Korean Floral Embossed Blankets for Double Bed, 86 X 88 Inch (Grey) Size:Double                                                                                 |                            Color Name:Grey   DIRECT FROM MANUFACTURER Global Home Tex is the largest manufacture of Home furnishing and floor covering products such as Blankets, Quilts, Cushions and Floor Covering Products Our impressive flooring range offers inspiration for every home in a variety of styles, designs and colors. you are sure to find a carpet/mats type that is perfect for your needs. This attractive Pile Shaggy Rug is a great choice for any modern home. Made from a soft polyester material, this calming mocha rug is made to last and has the wow factor that would impress any guest, making it a superb focal point.while also providing maximum comfort and warmth underfoot. Description:   Stylish look with pearl-like glossy, soft, solid color to reflect the different styles of modern furniture, make your home exudes a ultra modern tastes.   Environmentally friendly dyes, longer wash fastness.   Dust cleaning, easy to clean, you can clean by domestic broom, vacuum cleaner, dust collector, etc.   Colorful and diverse, myriad colors derived from natural, bright and active.   Special non-slip heavy bottom,   Suitable for bedroom, living room, dining area, office and runner for bedroom and kitchen etc.  Feedback & Amazon Seller Rating - We always strive for 100% customer satisfaction and we love to leave positive feed backs to our customers,  If you have any question, you are more than welcome to contact us +91 94676-72567 Please also review our Brand New Amazon Store for other Home Products. Blankets-Quilts-Carpets - Doormat - Bed Sheets - Pillows - Curtains - Cushions - Yoga Mat - Sofa Covers","['bag', 'bean bag', 'cotton']"
9,Demiawaking 4Pcs Carved Wooden Shapes Easter Egg Hanging Craft Embellishments DIY Ornaments Party Kids Bedroom Home Decorations Demiawaking 4pcs carved wooden shapes easter egg hanging craft embellishments diy ornaments party kids bedroom home decorations,"['tealights', 'tea light', 'tealight']"
1,"Epyz HD Ready Digital Photo Frame With Fully Functional Remote (15""inch, Black) Size name:15""inch                                                                                 |                            Colour:Black   Andoer 12"" HD digital photo frame with its 800* 600 high resolution, it can display your smart and colorful photos. Support automatic slideshow mode, selectable viewing intervals from 5s to 45min. Come on, play it in your bedroom or living room, showing hundreds of your traveling, family or party photos! Features: 800 * 600 high resolution screen, display clear and colorful photos. Compatible with SD/MMC card, you can insert the card into the slot, and play your picture immediately. Support remote control, you can slide or play your picture more conveniently. The images can zoom in and out, support 90/180/270 degree rotation. Support auto play, and you can set the interval time, get the different viewing experience. Can used as a MP3 player, built-in stereo speakers play the beautiful music while viewing your dear photos, support stereo headphone output. It can show dates and time, also a calendar and clock. Can also be used as a MP4 player/E-book. Specifications: Brand: Andoer Color: White Plug Type: US Plug Voltage: 100-240V Resolution: 800 * 600 Video Format: 720P/MP4/AVI/RMVB Photo Format: JPEG Audio Format: MP3/WMA Memory Card: SD/MMC, up to 16GB(Not included) Photo Interval: 5s / 10s/ 15s / 1min / 15min / 30min / 45min Other Function: MP3/MP4/Calendar/Clock/E-book Remote Control: Support Language: English / French / German / Russian / Spanish / Portuguese / Italian / Turkish / Swiss / Polish / Japanese / Korean Control Battery: 1 * CR2032(Included) Item Size: 28.8 * 22.2 * 2.8cm / 11.3 * 8.7 * 1.1in Item Weight: 727g / 25.7oz Package Size: 32 * 32 * 8cm / 12.6 * 12.6 * 3.1in Package Weight: 1.1kg / 2.6Lbs Note This product supports the SD cards with Class 6(6 MB/s) or above speed class. We recommend you to use branded memory cards (such as Kingston, , etc) to avoid the situation that the digital photo frame can not recognize your memory ca","['ipad', 'smartphone', 'bluetooth']"
-1,"Brain Games for Clever Kids (Buster Brain Games) Review A super book for children to enjoy as they puzzle their way through the challenges, which get harder as they progress through the book 				    	 					 Book Description Brain Games for Clever Kids is a fantastic bestselling puzzle book, brimming with memory, word and number workouts for the cleverest of kids! 				    	 					              See all Product description","['bag', 'bean bag', 'cotton']"
6,"Ready To Fire: How India and I Survived the ISRO Spy Case Book Description The true story behind the infamous ' ISRO Spy Case'. 				    	 					 About the Author S Nambi Narayanan, a mechanical engineer with a masters in chemical rocket propulsion from the Department of Aerospace & Mechanical Sciences at the Princeton University, was among the pioneers in Indian space science. After joining the space mission as a Technical Assistant (Design) in 1966, he led a team of Indian scientists to France in the 1970s to jointly develop the Vikas-Viking engine with the French. He was the Project Director for the second and fourth stages of the SLV, when he also served as the Deputy Director of the Liquid Propulsion Systems Centre at Thiruvananthapuram. He was the first Project Director for Cryogenic Propulsion Systems in the early 1990s. He retired as Director, Advanced Technology and Planning, ISRO, in 2001. Now living in Thiruvananthapuram with his wife, he has a son and a daughter. Journalist Arun Ram has covered an array of beats including politics, and science and technology, with several pieces of investigative journalism to his credit. The ISRO spy case was one of the first major stories he covered as an intern in his home town of Thiruvananthapuram in 1994. Twenty-three years later, ISRO remains his pet subject. A British Chevening scholar in print journalism, he is the 2004 winner of the Sarojini Naidu Award for best reporting on Women in Panchayati Raj. At present, he is the Resident Editor of The Times of India in Chennai, where he lives with his wife and son.","['dharma', 'mahabharata', 'hindu']"
-1,"AMZ Exclusive Premium Quality Soft Rocking Chair Cushions Home Cotton Cushion Long Chair Pad (48 x 16 inches,Set of 1) (48 x 16 Inches, Royal Blue) Size:48 x 16 Inches                                                                                 |                            Color:Royal Blue   ➤ AMZ Premium Quality Soft Home Office Cotton Seat Cushion Travelling Long Chair Pad      ➤ AboutThis Chair Pad is design in such a way that You can use it as a cushion for your kitchen/bar stool, office/dinning chair, wheelchair, car, sofa, or any other chair.You can also keep this chair cushion vertically on your chair and use it as a back restMaintained just like a pillow, you can drape it in your favorite cushion covers to add an additional charm to your cozy living spaceBest Quality Guaranteed.This chair pad by Best Price is made of Micro Cotton. The dimension of the product is 48 x 16 Inches. It ensures better durability and performance.These beautiful Chair pad offers both comfort and easy care.A very well-made soft sponge & comfortable seat pad.A simple yet fashionable style looks beautiful as well as functional. Best gift for your friend or your family.Fastest Returns Guaranteed. As much as we are sure that you will fall in love with our products but still if you don't like our product, NO WORRIES, we provide easy and fastest returns. A high quality travel seat cushions, to improve blood circulation, alleviate the pressure of body and promote sleep.Comfortable,breathable and dry. You can fully enjoy the high quality of sleeping while using this health, fashion, high-grade seat cushions for a long term when out to travel, take a bus or in office.      ➤ Check out our AMZ store on Amazon for coordinating Products ❖ Bedsheets | Mattress Protectors | Mattress Enhancers | Mattress Toppers | Pillows | Pillow Covers | Blankets | Jaipuri Razai | Chair Pads | Home Decor Essentials | Duvets | Duvet Cover And Many More... ❖","['bag', 'bean bag', 'cotton']"
2,"Magbook Indian & World Geography 2019 About the Author An editorial team of highly skilled professionals at Arihant, works hand in glove to ensure that the students receive the best and accurate content through our books. From inception till the book comes out from print, the whole team comprising of authors, editors, proofreaders and various other involved in shaping the book put in their best efforts, knowledge and experience to produce the rigorous content the students receive. Keeping in mind the specific requirements of the students and various examinations, the carefully designed exam oriented and exam ready content comes out only after intensive research and analysis. The experts have adopted whole new style of presenting the content which is easily understandable, leaving behind the old traditional methods which once used to be the most effective. They have been developing the latest content and updates as per the needs and requirements of the students making our books a hallmark for quality and reliability for the past 15 years.","['designed exam', 'professionals arihant', 'exam oriented']"
9,"Kabello Plastic Royal Basket (Multicolour) - Set of 1 Color Name:Golden M2   Basket for Home Using | handcrafted Basket for Decorations This handcrafted basket from the brand of Kabello is best for seasonal decorations and to make home look more attractive and give a ancient look. These handcrafted products are made of Plastics wire and it comes in Golden and silver colour .Handmade products for home decor as well as daily use purposes with attractive finishing. This Handcrafted Plastics Wooden basket is best for decoration and makes your dining table look more attractive. Keeps fruits and vegetables conveniently in the kitchen or on the dining table. Can also be used as flower basket. This attractive container can be used for holding household items, or in bakeries and floral shops as well as just about any type of establishment. It is a restaurant serving baskets. We can use this to freshly baked bread , candies , crackers, finger foods and snacks house rolls, French fries, crunchy chips and fruit, or use it for holding individually wrapped condiments or napkins. Easily stackable and dishwasher safe, these baskets are perfect for both commercial food service and home use. For enhanced food presentation put a cloth napkin or paper food wrap inside the basket. Light-weight and easy to transport, this basket is an excellent addition to any restaurant or food service establishment. These baskets are perfectly suited for servicing at fine restaurants, outdoor picnics and your dining table.","['tealights', 'tea light', 'tealight']"
3,"Bluewud Oliver Side Table (Wenge) Color:Wenge   Bluewud designs, manufactures and markets range of innovative and contemporary furniture and home decor products. Our designs complement and connect with our consumers' lifestyle, imagination and aspirations. Our manufacturing facility in India is located in Noida, Delhi NCR which is completely equipped with state of the art machinery.","['furniture', 'sheesham wood', 'table chair']"
-1,"Aart Crome Classic Canvas Digital Printed Bean Bag Filled with Beans, 3XL Size The portable design of this giant bean bag chair allows you to easily bring it to any room and relax yourself in the bean bag. we proud ourselves in products and we strive to make our products as durable and well-constructed as possible. Rest assured, your cover will last for many years with proper care and a bit of love from time to time with additional beans, don't worry, bags aren't broken: they're safety locked opening them easy, just take a look at the label sewn onto all our bags. This small bean bag is a strapping presence. So go ahead, fluff it up, and sink into the glorious comfort. It shows how they can be opened with the help of a paperclip or safety pin. All big joe bean bags are designed to be re-filled, and our ultimax beans are separately. Comfort for all is more than just a saying to Style crome. Sure our chairs are comfortable, but we also understand that comfort extends improving the well being of those in need too. Comfort research, the creator of all profits to helping others. From local schools to charities such as the national children's advocacy center and sunshine on a ranney day, your helps bring a bit more comfort for all.","['bag', 'bean bag', 'cotton']"
1,"Andoer V12 1080P Full HD 16X Digital Zoom Recording Video Camera Portable Camcorder with 3.0 Inch Rotatable LCD Screen Max. 20 Mega Pixels Support Night Vision Face Detection Face Beautification Specifications: Brand: Andoer Model: V12 Image Sensor: CMOS sensor, max. 20 million pixels (software interpolation) Induction Sensibility: Auto, ISO100, ISO200, ISO400 Storage Media: Support TF/High capacity TF card, max. 32GB Video Lens: Fixed lens, F/3.2, f=7.5mm Focus Range: Normal: 1m~infinity Static Photo: Format: JPEG resolution: VGA, 2M, 3M, 5M, 7M, 8M, 10M, 12M, 16M, 20M (software interpolation) Video Clips: Format: AVI resolution: FHD1080, HD720P, VGA Zoom: 16X digital zoom Anti-Shake Function: Electronic anti-shake Video Voice: Support Face Detection: Support Face Beautification: Support Monitor Screen: 3.0 inch TFT-LCD Infrared Night Vision: Support Infrared Remote Control: Support White Balance: Auto/sun/cloudy/light bulb/fluorescent lamp Exposure Compensation: -3.0EV~+3.0EV Self Time: Off, 2s, 5s, 10s Computer Interface: USB 2.0 Auto Shutdown: Off, 1 minute, 3 minutes, 5minutes, 10 minutes TV Output: Yes, NTSC/PAL Remote Control: Yes, ＞6m Camera Battery: NP-120 Li-ion battery, 3.7V, 1000mAh Remote Controller Battery: CR2025, 3.0V, 150mAh Item Size: 12 * 6.2 * 6.5cm / 4.7 * 2.4 * 2.6in Item Weight: 292g / 10.3oz Package Size: 17 * 14 * 9.7cm / 6.7 * 5.5 * 3.8in Package Weight: 501g / 17.7ozPackage List: 1 * V12 Digital Video Camera 1 * NP-120 Battery (Built-in) 1 * Remote Control 1 * AV Cable 1 * USB Cable 1 * Camera Bag 1 * User Manual (English & Chinese)Note: Memory card is not included. The NP-120 battery is put in the video camera in the state of insulation. When receive the product and then to use, please tear off the insulation paste on the surface of the battery.","['ipad', 'smartphone', 'bluetooth']"
-1,"Cuentos Selectos: Edgar Allan Poe (Filo Y Contrafilo) About the Author Edgar Allan Poe was a writer, poet, critic, and journalist. He is considered one of the greatest storytellers of all time.","['bag', 'bean bag', 'cotton']"
3,"Novicz ARN-Swing-Chair-FRR-Round-XL-White Cotton Swinging Chair (White) Size:XL-Adults                                                                                 |                            Color:White   Novicz strong and durable home hanging swing chair. A relaxing hanging chair for your garden, balcony etc. A ""S"" clamp will be provided with the package for hanging on ceiling or tree trunk.","['furniture', 'sheesham wood', 'table chair']"
-1,"Glus Women's Satin Hanging Heart Nipple Pasties (Red, Free Size) Satin Hanging Heart Nipple Pasties. Self adhesive gel at the back to paste it .","['bag', 'bean bag', 'cotton']"
-1,Tclpvc Premium WATEPROOF Double Cool 4/7 feet Bamboo Chick Window Closer - Curtains For Balcony - Windows - Outdoors - Door - Kitchen - Home - Office - Hotel - Resorts – Blinds - Shades – Screens - Patio Umbrellas - Canopies - Shade - Sunscreen Fabric - Screens - Protection - Balcony Privacy - Protective Screens - window blind curtain – Verandas - Public Areas - Door Curtain - Fly Screen - Divider Room US - 1010 Tclpvc Premium WATEPROOF Double Cool 4/7 feet Bamboo Chick Window Closer - Curtains For Balcony - Windows - Outdoors - Door - Kitchen - Home - Office - Hotel - Resorts – Blinds - Shades – Screens - Patio Umbrellas - Canopies - Shade - Sunscreen Fabric - Screens - Protection - Balcony Privacy - Protective Screens - window blind curtain – Verandas - Public Areas - Door Curtain - Fly Screen - Divider Room US - 1010,"['bag', 'bean bag', 'cotton']"
0,"Fancyku Kpop BTS Bangtan Boys Unisex Sweatshirt Round High Neck Pullover Sweatshirts Casual BTS Printed Hoodie Suga Jin Jimin J-Hope Jacket Material: Cotton + Polyester, high quality material and fine workmanship, very comfortable and warm to wear Features: BTS letter printed, Long sleeve, Round high neck Occasions: casual wearing, school, office, dates and parties, perfect for any occasion you want Casual sweatshirt with round high neck, can wear it with jeans, leggings, skirts, coats and etc; Nice gift for BTS A.R.M.Y and show your support for BTS Note: Please kindly refer to the size details of the picture that we provide on the left (Not the Amazon Size Chart) before placing the order to ensure accurate fitting","['slim fit', 'sweatshirt', 'regular fit']"
3,"Cello Oasis Four Seater Centre Table (Ice Brown) Color:Ice Brown   Cello furniture brings convenience and style to your interiors. Elegant and functional furniture, this center table is well crafted and designed.","['furniture', 'sheesham wood', 'table chair']"
1,"Asus Vivobook X540MA-GQ024T 15.6-inch Laptop (Intel Celeron N4000/4GB/500GB/Windows 10/Integrated Graphics), Chocolate Black ASUS X540BA is powered by the AMD processors. ASUS X540 features round speakers that maximize every cubic millimetre of available chassis space to give you better low frequency performance and reduced noise. The extra-large 19.4cc chamber provides superior bass and excellent sound clarity. ASUS X540 has a solid and lightweight chassis that weighs just 1.9kg - ideal to take with you when you’re out and about. Its premium brushed finish turns heads and makes sure that you stand out from the crowd. ASUS Eye Care mode effectively reduces blue light levels by up to 33% to make reading comfortable, and to protect you from potential eye fatigue and other ailments. It's the ideal laptop for daily computing and entertainment.","['ipad', 'smartphone', 'bluetooth']"
5,"EthnicJunction Women's Cotton Jacquard Straight Fit Unstitched Dress Material (EJ1125-45_Pink) This Pink dress material in soft cotton, jacquard fabric that can be worn full day. Perfectly matched dupatta for that different look that will leave a smile on your face.","['cotton kurta', 'purchase kurtas', 'kurta pyjama']"
-1,"The Wild Unknown Tarot Deck and Guidebook (Official Keepsake Box Set) About the Author Kim Krans is a classically trained artist and writer. She studied art at Cooper Union in New York City. In addition to The Wild Unknown, she is the author and illustrator of several children’s books, including Hello Sacred Life and ABC Dream. She lives in Portland, Oregon, with her husband, Arjan.","['bag', 'bean bag', 'cotton']"
11,"Trasa Ultra Soft Cotton Churidar Solid Regular and Plus 35 Colours Leggings for Womens and Girls- Sizes :- M, L, XL, 2XL, 3XL, 4XL, 5XL, 6XL","['lace bra', 'lingerie set', 'lingerie']"
-1,"Ealth Kart 144 TC 100% Cotton Rajasthani Jaipuri Double Bedsheet with 2 Pillow Covers - Green About Ealth KartEalth Kart products into your home for their form and function, and experience their style, craftsmanship, and value. Double bedsheet with 2 Matching Pillow Cover,100% Pure Jaipuri Cotton Printed Bedsheet every bedsheet looking nice & bright usefull for all bedding purpose,All This Bedsheets Made in Rajasthan,Jaipur at Sanganer Place. Check out all of our Ealth Kart products, you'll find something for all occasions at the best values. With a selection that continues to grow, the Ealth Kart brand is set to become a part of your lifestyle.Product Details: 1 Double Size Bedsheet With 2 Pillow Covers Material 100% Pure Cotton 144 Thread Count Bed Sheet Size: 220 X 240 cm I Pillow Size: 43 X 69 cm.  Wash Care If you do not wish to get bedsheet shrunken, discoloured or damaged! Then get more attention and follow the label on the inside of your favourite bedsheet. Machine wash or hand wash cold For best use, wash separately on first use  Do not use strong detergent and Do not soak for longer duration  Do not bleach and dry clean  Iron steam or dry at low heat  Dry in weak sun Note: Every cotton bedsheet leaves colour in first wash. wash it separately on first use. Strictly follow wash care instructionsAccessories:Check Out Our Ealth Kart Store Bed Sheets|","['bag', 'bean bag', 'cotton']"
-1,"Diverse Men's Formal Shirt Diverse is a western wear value brand for men. Our range consists of basic and updated basic apparel across both formal and casual wear. We offer the right blend of quality, style and value aimed to delight our customers.","['bag', 'bean bag', 'cotton']"
6,"Psycon About the Author Hailing from the small town of Satna with humble beginnings, Varun has come a long way by establishing a prominent name for himself in the FMCG space. Varun's professional stints are replete with awards of recognition but his heart has always been in the literary space since his association with Guts & Glory, a book published by SIBM Pune in association with Rupa Publication. Now, he longs to write about the complex interplay of societal norms and self-interest, redefining the demarcations between good and evil, in a world driven by propaganda, where truth is never absolute and public perception is the king. A die-hard fan of the honourable Prime Minister of India and a keen observer of the evolving political environment in the country, he has dared to challenge the existing notions of the society with his endeavor: PSYCON. The book does not merely scratch the surface of societal evils like black money and corruption but also rips apart the draconian system, under which such evils prospered and became the accepted norm.  The royalty earned by the author from this book will be donated to the Prime Minister's National Relief Fund.","['dharma', 'mahabharata', 'hindu']"
-1,"Fursure Upholstered 5 Seater Sofa Set (Grey) (3+1+1) Modern Style & Jute Fabric Material Size:Standard                                                                                 |                            Color:Grey   As cute and appealing as a brownie, the Jute sofa 5-seater sofa set is the very definition of comfort! Don't let the cuteness put you to worry, this sofa is as pocket-friendly as it is elegant! Buy this set and it will certainly be the focal point of any drawing room! Jute sofas are the most beautiful pieces to add a rustic charm to any space! Which is why this 5 seater jute sofa in grey is a dream come true for every homeowner. And that’s not all, the color is so versatile that it will fit like a dream into any space and blend it with your other decor elements easily! Cushions are not included in it, only 3+1+1 seater sofa will be provided. EMI Options are available, Color & Design can be customized as per your need, Material used inside - Foam, Material used outside - Upholstery fabric.","['bag', 'bean bag', 'cotton']"
-1,"Green Junction Shadu Clay (Grey, 1kg) Shadu Clay/Mati is Super fine Sedimentary Clay. Its natural and environment friendly. Shadu clay has high plasticity and can withstand high temperature. It is water soluble clay.","['bag', 'bean bag', 'cotton']"
15,"Amazon Brand - Solimo 100% Cotton 12 Piece Face Towel Set, 500 GSM (Multicolour) Color Name:Multicolor   100% cotton, extra soft and absorbent Plush 500 GSM towels Long-lasting fade resistant fabric Size: 30x30 cm Pack contents: 12 face towels Colours: Iris blue, paradise pink and spring green","['gsm towels', 'towel set', 'towels colours']"
5,Mrinalika Fashion Women's Art Silk Saree With Blouse Piece (Srja006_Red) Explore the collection of beautifully designed sarees from Mrinalika Fashion on Amazon. Each piece is elegantly crafted and will surely add to your wardrobe. Pair this piece with heels or flats for a graceful look.,"['cotton kurta', 'purchase kurtas', 'kurta pyjama']"
9,"Veeana Floating Oil Wicks (Parsi Vat) Set of 1 Pack (500 Wicks) Best quality oil floating wicks from Veeana widely known as Parsi Vat, these unscented wicks are offered in a 500-piece per pack. Burning time of these wicks is depends on how much oil is used. These floating wicks do not produce smoke. Suitable for celebrating any occasion or festival. Can be used indoors and outdoors. Sitting alone or beside a loved one, amidst a cluster of flickering candle lights is an experience like no other. Gift yourself a few minutes of calm and serenity by lighting these wicks. These wicks are suitable for various festivals, occasions, home decor, parties etc Made from Premium Quality Wax. This set of 1 pack contains total 500 pieces of wicks.","['tealights', 'tea light', 'tealight']"
12,"AmazonBasics Micro USB Charging Cable for Android Phones (3 Feet, Black) Size name:3 Feet                                                                                 |                            Style name:Pack of 1   AmazonBasics Micro USB Charging Cable for Android Phones (3 Feet, Black)","['aux cable', 'usb charger', 'secro cables']"
6,"Inglorious Empire: What the British Did to India Review 'Tharoor convincingly demolishes some of the more persistent myths about Britain's supposedly civilizing mission in India ... [he] charts the destruction of pre-colonial systems of government by the British and their ubiquitous ledgers and rule books ... The statistics are worth repeating.'--Victor Mallet ""Financial Times ""'Ferocious and astonishing. Essential for a Britain lost in sepia fantasies about its past, Inglorious Empire is history at its clearest and cutting best.'--Ben Judah, author of This is London'This book burns with the power of intellect married with conviction ... this is erudite, well-written, thoroughly documented and persuasive history that focuses varied sources into a coherent critique of colonialism in the Indian context. Tear up your copies of Ferguson's neo-liberal mind rot and get angry like Tharoor.'--Christopher Kremmer ""Sydney Morning Herald ""'Those Brits who speak confidently about how Britain's ""historical and cultural ties"" to India will make it easy to strike a great new trade deal should read Mr Tharoor's book. It would help them to see the world through the eyes of the ... countries once colonised or defeated by Britain.'--Gideon Rachman ""Financial Times ""'Rare indeed is it to come across history that is so readable and so persuasive.'--Amitav Ghosh'[A]t once a moral indictment and a moralistic polemic, both intended to expose the ''totally amoral, rapacious imperial machine'' the British devised to plunder India.'--Mark Thomas ""Canberra Times ""'Remarkable ... The book is savagely critical of 200 years of the British in India. It makes very uncomfortable reading for Brits.'--Matt Ridley ""The Times ""'Brilliant ... A searing indictment of the Raj and its impact on India. ... Required reading for all Anglophiles in former British colonies, and needs to be a textbook in Britain.'--Salil Tripathi, Chair of the Writers in Prison Committee, PEN International, and author of The Colonel Who Would Not Repent 'His writing is a delight and he seldom misses his target ... Tharoor should be applauded for tackling an impossibly contentious subject ... he deserves to be read. Indians are not the only ones who need reminding that empire has a lot to answer for.' --Literary Review'Eloquent ... a well-written riposte to those texts that celebrate empire as a supposed ""force for good.""'--BBC World Histories 				    	 					         		         		         	                  	         		About the Author Shashi Tharoor served for twenty-nine years at the UN, culminating as Under-Secretary-General. He is a Congress MP in India, the author of fourteen previous books, and has won numerous literary awards, including a Commonwealth Writers' Prize. Tharoor has a PhD from the Fletcher School, and was named by the World Economic Forum in Davos in 1998 as a Global Leader of Tomorrow.","['dharma', 'mahabharata', 'hindu']"
-1,"Advanced Educational Psychology About the Author The author, Ph.D., is a Professor and head of depatment of post graduate studies at CR college of education, Rohtak, Haryana","['bag', 'bean bag', 'cotton']"
11,"Anaro V-cut solid premium four way stretchable cotton lycra churidar leggings for womens and girls(Combo pack of two) Anaro V-cut solid premium four way stretchable cotton lycra churidar leggings for womens and girls. The leggings have an elasticized waist band. They can be worn with casuals and tees, with heels, with a chic kurta or an Indian Outfit. The fabric of our leggings is 95% supercombed cotton and 5% Lycra. Disclaimer : Product colour may slightly vary due to photographic lighting sources or your monitor settings.","['lace bra', 'lingerie set', 'lingerie']"
3,Alfa Children Knob (Micky Donald) Cartoon Shape Drawer Handle Designer Fancy Cabinet Ornamental Hardware Alfa presents knob which is made of rubber and is multicolour in colour. The size (L x B) of this product is 2.5 cm x 4 cm.,"['furniture', 'sheesham wood', 'table chair']"
8,Dell DW316 External USB Slim DVD R/W Optical Drive 429-AAUX DW316 Ext USB Optical Drive,"['floppy drive', 'external floppy', 'floppy disk']"
10,"Circle 120 mm 15 LED Silent Cabinet Cooling Fan (Black) Colour:Black   Input (watt) : 3.36a, 10 percentw r.P.M : 1650a, 10 percentrpm air flow : 59.6cfm air pressure : 2.67mm h2o noise : 25.7 dba weight : 132g fan life expectancy : 50,000 hours bearing type : Hydraulic long-life sleeve screws: 4 connector : 4-pin and 3-pin led number : 15 led dimension : 120x120x25mm now give your computer a trendy makeover with high performing led fan and keep the 'cool' quotient high.","['led fan', 'table fan', 'cooling fan']"
1,"HP 15 Core i5 8th gen 15.6-inch FHD Laptop (8GB/1TB HDD/Windows 10 Home/Sparkling Black /2.04 kg), 15q-ds0010TU Designed for long-lasting performance, this stylishly designed HP 15"" laptop has a long-lasting battery that keeps you connected, entertained, and productive all day. Speed through tasks, or sit back and socialize – with the latest processors and a rich HD display. Do it all, all day.","['ipad', 'smartphone', 'bluetooth']"
